Date,Open,Low,High,Close,Volume,Amount
2009-10-30 00:00:00,1.627,1.382,2.610,1.779,164270,732547300.00
2009-11-06 00:00:00,1.579,1.579,1.873,1.627,212560,904043300.00
2009-11-13 00:00:00,1.617,1.427,1.630,1.592,92143,362504900.00
2009-11-20 00:00:00,1.587,1.560,1.837,1.743,104874,450991900.00
2009-11-27 00:00:00,1.759,1.583,1.862,1.743,141145,616981500.00
2009-12-04 00:00:00,1.742,1.717,1.958,1.775,164898,762760100.00
2009-12-11 00:00:00,1.770,1.718,1.998,1.739,107648,503450200.00
2009-12-18 00:00:00,1.739,1.449,1.806,1.703,98749,417802800.00
2009-12-25 00:00:00,1.650,1.565,1.939,1.776,198803,906505000.00
2010-01-01 00:00:00,1.757,1.619,1.828,1.681,80193,349494600.00
2010-01-08 00:00:00,1.689,1.529,1.701,1.564,63704,264974700.00
2010-01-15 00:00:00,1.560,1.541,1.873,1.734,96412,418645200.00
2010-01-22 00:00:00,1.746,1.500,1.800,1.528,59596,252022400.00
2010-01-29 00:00:00,1.516,1.368,1.557,1.395,38581,145886900.00
2010-02-05 00:00:00,1.234,1.116,1.395,1.193,84367,274516000.00
2010-02-12 00:00:00,1.202,1.182,1.381,1.361,54387,182186800.00
2010-02-26 00:00:00,1.359,1.270,1.408,1.355,85621,303350400.00
2010-03-05 00:00:00,1.337,1.247,1.416,1.277,68578,240635200.00
2010-03-12 00:00:00,1.287,1.222,1.388,1.336,88291,301774400.00
2010-03-19 00:00:00,1.323,1.323,1.416,1.387,106946,383690800.00
2010-03-26 00:00:00,1.382,1.359,1.647,1.499,227522,892617900.00
2010-04-02 00:00:00,1.493,1.427,1.644,1.578,149212,589954200.00
2010-04-09 00:00:00,1.585,1.584,1.738,1.685,115877,487115800.00
2010-04-16 00:00:00,1.691,1.449,1.799,1.533,115573,482171900.00
2010-04-23 00:00:00,1.516,1.358,1.560,1.461,87519,332954600.00
2010-04-30 00:00:00,1.417,1.188,1.421,1.248,70423,241621900.00
2010-05-07 00:00:00,1.194,1.137,1.304,1.146,56601,117597200.00
2010-05-14 00:00:00,1.146,0.934,1.174,1.006,74096,121128000.00
2010-05-21 00:00:00,0.994,0.836,0.994,0.971,87951,133040000.00
2010-05-28 00:00:00,0.978,0.978,1.101,1.080,112404,187427200.00
2010-06-04 00:00:00,1.072,0.921,1.084,1.033,85334,137129800.00
2010-06-11 00:00:00,1.004,0.995,1.669,1.609,466222,967506600.00
2010-06-25 00:00:00,1.426,1.266,1.656,1.308,371677,810132200.00
2010-07-02 00:00:00,1.266,1.069,1.284,1.138,230135,430392000.00
2010-07-09 00:00:00,1.092,1.039,1.166,1.133,230288,404554500.00
